ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb
1474680,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,14,0.0,207,82115385195737,17,28.4,65.49964904785156,0.7039999961853027,16,0.0,0.0,1.59806246E9,,,,0,,3,2.63
1474680,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,13,0.0,207,82115375990541,64,18.6,697.50732421875,2.0490000247955322,16,0.0,0.0,1.60087501E9,,,,0,,3,2.63
1474680,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,15,0.0,207,82115379331995,11,33.9,-635.8712158203125,0.25140002369880676,16,0.0,0.0,1.602E9,,,,0,,3,2.63
1474680,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,5,0.0,207,82115375588705,7,37.5,-652.7590942382812,0.24310000240802765,16,0.0,0.0,1.60256256E9,,,,0,,3,2.63
1474680,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,3,0.0,207,82115378890328,17,28.7,455.5136413574219,0.7235000133514404,16,0.0,0.0,1.60481254E9,,,,0,,3,2.63
1474680,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,4,0.0,207,82115384383025,10,34.4,-169.0851287841797,0.2281000167131424,16,0.0,0.0,1.60537498E9,,,,0,,3,2.63
1474680,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,3,0.0,15,244133380384084,8,36.7,293.5778503417969,0.02120000123977661,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474680,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,4,0.0,15,244133380470775,13,31.2,-108.24777221679688,0.025200000032782555,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474680,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,6,0.0,15,244133368486977,13,31.1,-24.376619338989258,0.398499995470047,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,7,0.0,15,244133369322031,70,17.1,-517.2847900390625,1.1799999475479126,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,9,0.0,15,244133376320391,16,29.0,-400.98681640625,0.4805000126361847,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,16,0.0,15,244133378080176,8,36.7,-181.87841796875,0.04820000380277634,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,22,0.0,15,244133375771124,14,30.7,502.7410583496094,0.04830000177025795,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,23,0.0,15,244133379195807,12,32.7,-207.63833618164062,0.052400000393390656,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,26,0.0,15,244133375626649,11,33.1,235.80686950683594,0.04540000110864639,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,31,0.0,15,244133365805269,73,17.9,647.8833618164062,1.8339999914169312,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,7,0.0,7183,244133366843591,7,37.6,250.05856323242188,0.047600001096725464,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,19,0.0,7183,244133361292955,31,23.9,-424.1550598144531,0.6019999980926514,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1474681,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,21,0.0,7183,244133361172749,582,19.1,-570.8714599609375,15.812000274658203,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1474682,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,27,0.0,7183,244133370644129,13,31.9,-187.6139678955078,0.05220000073313713,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1474682,1504724000000,,,-1263065028725181197,-0.8369951248168945,23.960812541190535,-11.139738621961339,12.601329791553471,1,30,0.0,7183,244133368822316,10,34.3,341.7217712402344,0.04610000178217888,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1475695,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,14,0.0,207,82116385195618,19,27.7,63.8016242980957,0.24880000948905945,16,0.0,0.0,1.59806246E9,,,,0,,3,2.57
1475695,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,13,0.0,207,82116375988312,53,19.7,694.8855590820312,1.2190001010894775,16,0.0,0.0,1.60087501E9,,,,0,,3,2.57
1475696,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,15,0.0,207,82116379334128,11,33.3,-637.853271484375,0.25140002369880676,16,0.0,0.0,1.602E9,,,,0,,3,2.57
1475696,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,5,0.0,207,82116375590865,7,37.5,-654.8251953125,0.24310000240802765,16,0.0,0.0,1.60256256E9,,,,0,,3,2.57
1475696,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,3,0.0,207,82116378888824,19,27.7,453.26214599609375,0.26829999685287476,16,0.0,0.0,1.60481254E9,,,,0,,3,2.57
1475696,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,4,0.0,207,82116384383568,9,35.8,-171.006103515625,0.22760000824928284,16,0.0,0.0,1.60537498E9,,,,0,,3,2.57
1475696,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,3,0.0,15,244134380383099,8,36.1,291.61590576171875,0.02120000123977661,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
1475697,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,4,0.0,15,244134380471136,12,32.1,-110.18607330322266,0.023900000378489494,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
1475697,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,6,0.0,15,244134368487048,14,30.9,-26.3666934967041,0.037800002843141556,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
1475697,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,7,0.0,15,244134369323699,70,17.4,-519.9774780273438,1.1799999475479126,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
1475698,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,9,0.0,15,244134376321745,24,25.7,-402.584228515625,0.4058000147342682,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
1475698,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,16,0.0,15,244134378080783,8,36.4,-183.80899047851562,0.04820000380277634,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
1475698,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,22,0.0,15,244134375769469,19,27.3,500.9236145019531,0.06379999965429306,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
1475698,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,23,0.0,15,244134379196512,12,32.9,-209.66204833984375,0.052400000393390656,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
1475698,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,26,0.0,15,244134375625859,13,31.4,233.8733367919922,0.047700002789497375,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
1475699,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,31,0.0,15,244134365803108,87,17.9,647.8833618164062,3.3340001106262207,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.14
